Season,Slot,Round,Team1,Team2
2026,R1G1,64,Ohio St.,TCU
2026,R1G2,64,Nebraska,Troy
2026,R1G3,64,Louisville,South Florida
2026,R1G4,64,Wisconsin,High Point
2026,R1G5,64,Duke,Siena
2026,R1G6,64,Vanderbilt,McNeese St.
2026,R1G7,64,Michigan St.,North Dakota St.
2026,R1G8,64,Arkansas,Hawaii
2026,R1G9,64,North Carolina,VCU
2026,R1G10,64,Michigan,Winner of UMBC vs Howard
2026,R1G11,64,BYU,Winner of Texas vs North Carolina St.
2026,R1G12,64,Saint Mary's,Texas A&M
2026,R1G13,64,Illinois,Penn
2026,R1G14,64,Georgia,Saint Louis
2026,R1G15,64,Gonzaga,Kennesaw St.
2026,R1G16,64,Houston,Idaho
2026,R1G17,64,Kentucky,Santa Clara
2026,R1G18,64,Texas Tech,Akron
2026,R1G19,64,Arizona,LIU Brooklyn
2026,R1G20,64,Virginia,Wright St.
2026,R1G21,64,Iowa St.,Tennessee St.
2026,R1G22,64,Alabama,Hofstra
2026,R1G23,64,Villanova,Utah St.
2026,R1G24,64,Tennessee,Winner of Miami OH vs SMU
2026,R1G25,64,Clemson,Iowa
2026,R1G26,64,St. John's,Northern Iowa
2026,R1G27,64,UCLA,UCF
2026,R1G28,64,Purdue,Queens
2026,R1G29,64,Florida,Winner of Prairie View A&M vs Lehigh
2026,R1G30,64,Kansas,Cal Baptist
2026,R1G31,64,Connecticut,Furman
2026,R1G32,64,Miami FL,Missouri
