Season,TeamID,TeamName,AdjO,AdjD,Tempo,Rating,Seed,SOS
2008,1,Xavier,116.413,94.068,62.8978,22.3453,3,23.372
2008,2,Wisconsin,113.619,86.2081,60.8809,27.4107,3,28.584
2008,3,Winthrop,99.6932,92.3864,60.9746,7.30673,13,15.705
2008,4,Western Kentucky,111.076,97.011,66.5432,14.0646,12,14.064
2008,5,West Virginia,113.57,93.4302,63.0942,20.14,7,29.445
2008,6,Washington St.,116.272,92.3676,57.7887,23.9044,4,31.951
2008,7,Villanova,108.903,95.9216,67.2121,12.9811,12,29.494
2008,8,Vanderbilt,112.598,99.0821,67.6816,13.5159,4,23.876
2008,9,UT Arlington,101.14,103.138,68.0296,-1.99751,16,9.423
2008,10,USC,110.663,90.6973,64.6004,19.9654,6,36.782
2008,11,UNLV,110.183,96.5636,63.0988,13.6193,8,20.716
2008,12,UMBC,113.762,109.662,63.0741,4.10027,15,11.398
2008,13,UCLA,118.735,88.16,63.1761,30.5753,1,32.362
2008,14,Texas A&M,112.029,92.4268,61.5639,19.6026,9,31.167
2008,15,Texas,119.757,94.9061,63.0818,24.8513,2,34.791
2008,16,Tennessee,117.787,95.4494,69.5841,22.3372,2,31.749
2008,17,Temple,112.696,100.26,62.9596,12.4365,12,22.398
2008,18,Stanford,113.328,89.3924,62.7524,23.9361,3,33.063
2008,19,South Alabama,112.779,100.155,64.0943,12.6239,10,13.287
2008,20,Siena,108.144,101.391,66.6906,6.75339,13,13.952
2008,21,San Diego,101.501,96.9684,62.4343,4.53284,13,20.325
2008,22,Saint Mary's,110.005,94.2943,65.4301,15.7105,10,17.599
2008,23,Saint Joseph's,114.718,100.152,63.5629,14.5658,11,23.976
2008,24,Purdue,109.692,91.6027,65.7787,18.089,6,28.915
2008,25,Portland St.,108.411,102.574,65.7791,5.83665,16,13.96
2008,26,Pittsburgh,116.407,96.8952,63.1376,19.5116,4,33.073
2008,27,Oregon,119.29,102.634,64.9184,16.6554,9,35.62
2008,28,Oral Roberts,104.822,93.6893,62.6931,11.1323,13,16.644
2008,29,Oklahoma,109.474,94.3986,62.5674,15.0751,6,33.332
2008,30,Notre Dame,116.335,97.1396,68.9559,19.1955,5,28.578
2008,31,North Carolina,120.686,92.5415,71.9191,28.1446,1,31.561
2008,32,Mount St. Mary's,99.0167,100.058,65.2309,-1.04085,16,9.636
2008,33,Mississippi Valley St.,92.1127,107.08,62.3905,-14.9674,16,12.999
2008,34,Mississippi St.,107.347,91.5296,65.8268,15.8174,8,23.951
